time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter,.fixed_quality
2023/02/20/17:57:38.195699,0,82658,0,GNSS,42.33826601166667,71.08661750333333,33.152,0.61,671894.0507727669,4689443.222186222,225738.0,42,T,4
2023/02/20/17:57:39.482635,0,82659,0,GNSS,42.338266055,71.08661753333334,33.148,0.61,671894.0531261722,4689443.227058706,225739.0,42,T,4
2023/02/20/17:57:40.415405,0,82660,0,GNSS,42.33826604666667,71.08661752,33.147,0.61,671894.0520504443,4689443.226106399,225740.0,42,T,4
2023/02/20/17:57:41.393295,0,82661,0,GNSS,42.33826604666667,71.08661753333334,33.146,0.61,671894.0531488792,4689443.226133352,225741.0,42,T,4
2023/02/20/17:57:42.193341,0,82662,0,GNSS,42.33826602333333,71.08661752833333,33.152,0.61,671894.0528005469,4689443.223532256,225742.0,42,T,4
2023/02/20/17:57:43.137160,0,82663,0,GNSS,42.33826603333333,71.08661755833333,33.148,0.61,671894.0552447807,4689443.224703327,225743.0,42,T,4
2023/02/20/17:57:44.157296,0,82664,0,GNSS,42.338266025,71.08661755833333,33.144,0.61,671894.0552674879,4689443.223777975,225744.0,42,T,4
2023/02/20/17:57:45.170818,0,82665,0,GNSS,42.338266041666664,71.08661757666667,33.15,0.61,671894.056732423,4689443.225665742,225745.0,42,T,4
2023/02/20/17:57:46.165083,0,82666,0,GNSS,42.338266053333335,71.086617565,33.15,0.61,671894.0557395001,4689443.226937652,225746.0,42,T,4
2023/02/20/17:57:47.232507,0,82667,0,GNSS,42.338266051666665,71.08661757666667,33.146,0.61,671894.0567051744,4689443.226776166,225747.0,42,T,4
2023/02/20/17:57:48.192846,0,82668,0,GNSS,42.338266041666664,71.08661756333333,33.153,0.61,671894.0556339859,4689443.225638788,225748.0,42,T,4
2023/02/20/17:57:49.198673,0,82669,0,GNSS,42.33826604833333,71.08661759833333,33.154,0.61,671894.0584992149,4689443.226449826,225749.0,42,T,4
2023/02/20/17:57:50.197911,0,82670,0,GNSS,42.33826603666667,71.08661759333333,33.152,0.61,671894.0581190926,4689443.225144223,225750.0,42,T,4
2023/02/20/17:57:51.192539,0,82671,0,GNSS,42.33826603833333,71.08661756833334,33.155,0.61,671894.0560549832,4689443.225278754,225751.0,42,T,4
2023/02/20/17:57:52.218077,0,82672,0,GNSS,42.33826603,71.08661759,33.153,0.61,671894.0578626501,4689443.224397202,225752.0,42,T,4
2023/02/20/17:57:53.180019,0,82673,0,GNSS,42.33826607666666,71.08661758833334,33.154,0.61,671894.057598186,4689443.22957581,225753.0,42,T,4
2023/02/20/17:57:54.188122,0,82674,0,GNSS,42.33826607333334,71.08661759166667,33.151,0.61,671894.0578818771,4689443.229212408,225754.0,42,T,4
2023/02/20/17:57:55.209232,0,82675,0,GNSS,42.338266061666666,71.08661757333333,33.15,0.61,671894.0564033155,4689443.22787985,225755.0,42,T,4
2023/02/20/17:57:56.161052,0,82676,0,GNSS,42.33826605666667,71.086617575,33.153,0.61,671894.056554246,4689443.227328009,225756.0,42,T,4
2023/02/20/17:57:57.194842,0,82677,0,GNSS,42.33826603833333,71.086617555,33.153,0.61,671894.0549565481,4689443.225251799,225757.0,42,T,4
2023/02/20/17:57:58.170399,0,82678,0,GNSS,42.338266051666665,71.08661757166666,33.151,0.61,671894.05629326,4689443.226766057,225758.0,42,T,4
2023/02/20/17:57:59.141977,0,82679,0,GNSS,42.338266041666664,71.08661755,33.15,0.61,671894.0545355489,4689443.225611833,225759.0,42,T,4
2023/02/20/17:58:00.197470,0,82680,0,GNSS,42.338266041666664,71.08661757666667,33.145,0.61,671894.056732423,4689443.225665742,225800.0,42,T,4
2023/02/20/17:58:01.193905,0,82681,0,GNSS,42.338266063333336,71.086617565,33.146,0.61,671894.0557122515,4689443.228048076,225801.0,42,T,4
2023/02/20/17:58:02.163896,0,82682,0,GNSS,42.338266063333336,71.08661756,33.146,0.61,671894.0553003391,4689443.228037967,225802.0,42,T,4
2023/02/20/17:58:03.220294,0,82683,0,GNSS,42.338266063333336,71.08661757166666,33.151,0.61,671894.05626147,4689443.228061553,225803.0,42,T,4
2023/02/20/17:58:04.192014,0,82684,0,GNSS,42.33826606666667,71.08661758166667,33.148,0.61,671894.0570762139,4689443.2284519095,225804.0,42,T,4
2023/02/20/17:58:05.199923,0,82685,0,GNSS,42.338266055,71.08661753166666,33.151,0.61,671894.052988868,4689443.227055335,225805.0,42,T,4
2023/02/20/17:58:06.239527,0,82686,0,GNSS,42.33826604,71.086617525,33.141,0.61,671894.0524805244,4689443.225376222,225806.0,42,T,4
2023/02/20/17:58:07.216266,0,82687,0,GNSS,42.338266041666664,71.08661753833333,33.15,0.61,671894.053574418,4689443.225588249,225807.0,42,T,4
2023/02/20/17:58:08.175430,0,82688,0,GNSS,42.338266055,71.08661755166666,33.148,0.61,671894.0546365215,4689443.227095768,225808.0,42,T,4
2023/02/20/17:58:09.205566,0,82689,0,GNSS,42.338266041666664,71.086617565,33.15,0.61,671894.0557712901,4689443.225642157,225809.0,42,T,4
2023/02/20/17:58:10.156971,0,82690,0,GNSS,42.338266045,71.086617555,33.149,0.61,671894.0549383825,4689443.225992083,225810.0,42,T,4
2023/02/20/17:58:11.175517,0,82691,0,GNSS,42.338266063333336,71.08661755,33.151,0.61,671894.0544765103,4689443.228017752,225811.0,42,T,4
2023/02/20/17:58:12.211548,0,82692,0,GNSS,42.33826605666667,71.08661754,33.151,0.61,671894.0536708513,4689443.227257254,225812.0,42,T,4
2023/02/20/17:58:13.254949,0,82693,0,GNSS,42.338266041666664,71.08661752833333,33.152,0.61,671894.0527505912,4689443.225568032,225813.0,42,T,4
2023/02/20/17:58:14.183415,0,82694,0,GNSS,42.338266053333335,71.086617555,33.149,0.61,671894.0549156753,4689443.226917435,225814.0,42,T,4
2023/02/20/17:58:15.176742,0,82695,0,GNSS,42.338266041666664,71.08661756,33.149,0.61,671894.0553593778,4689443.225632049,225815.0,42,T,4
